date,calls,p_c_ratio,puts,total
2006-11-01,1401036,0.91,1271445,2672481
2006-11-02,1348240,0.9,1218592,2566832
2006-11-03,1317371,0.91,1197794,2515165
2006-11-06,1260832,0.76,960752,2221584
2006-11-07,1463685,0.79,1158790,2622475
2006-11-08,1587664,0.78,1232542,2820206
2006-11-09,1539157,0.84,1288147,2827304
2006-11-10,905032,1.06,956168,1861200
2006-11-13,1494150,0.8,1189949,2684099
2006-11-14,1846023,0.82,1520119,3366142
2006-11-15,2208209,0.83,1824591,4032800
2006-11-16,2214135,0.78,1730471,3944606
2006-11-17,2348986,0.78,1839045,4188031
2006-11-20,1651762,0.86,1421412,3073174
2006-11-21,1472749,1.03,1522583,2995332
2006-11-22,1228962,0.89,1090750,2319712
2006-11-24,561132,1.06,593574,1154706
2006-11-27,1571914,1.27,2003376,3575290
2006-11-28,1354590,0.93,1263784,2618374
2006-11-29,1857385,0.67,1250537,3107922
2006-11-30,1500118,0.77,1159950,2660068
2006-12-01,1499093,0.91,1366324,2865417
2006-12-04,1478450,0.86,1277799,2756249
2006-12-05,1485668,0.76,1129441,2615109
2006-12-06,1473185,0.84,1240695,2713880
2006-12-07,1542127,0.89,1375974,2918101
2006-12-08,1353050,0.79,1062727,2415777
2006-12-11,1450643,0.72,1047608,2498251
2006-12-12,1596455,0.96,1533346,3129801
2006-12-13,1631636,0.87,1426591,3058227
2006-12-14,2444953,0.61,1490941,3935894
2006-12-15,2271000,0.74,1669244,3940244
2006-12-18,1652162,1.09,1807227,3459389
2006-12-19,1536358,0.96,1477289,3013647
2006-12-20,1157975,0.85,982895,2140870
2006-12-21,1581942,0.79,1250630,2832572
2006-12-22,848222,1.11,937418,1785640
2006-12-26,761271,0.84,638977,1400248
2006-12-27,914755,0.85,777062,1691817
2006-12-28,931280,0.96,893310,1824590
2006-12-29,1050707,0.88,923895,1974602
2007-01-03,1660954,0.87,1444024,3104978
2007-01-04,1604704,0.82,1315635,2920339
2007-01-05,1579147,0.9,1417792,2996939
2007-01-08,1363540,0.86,1170294,2533834
2007-01-09,1648779,0.79,1301831,2950610
2007-01-10,1789372,0.81,1447992,3237364
